datetime_next15,actual_next15_kW,pred_baseline_kW,pred_model_kW
2025-09-28 13:15:00+05:00,323.0,359.37497818832753,381.47333333333336
2025-06-19 15:15:00+05:00,505.0,523.8246501618478,495.29333333333335
2025-10-18 08:45:00+05:00,320.0,287.0567489469601,327.38666666666666
2025-01-27 14:30:00+05:00,562.0,605.0588254740687,561.97
2025-06-27 06:45:00+05:00,99.0,82.9806499918686,98.14
2025-01-10 11:15:00+05:00,724.0,710.0688569752324,723.16
2025-02-05 12:15:00+05:00,788.0,786.349728914757,783.3733333333333
2025-03-15 15:30:00+05:00,281.0,353.43101414109185,293.9033333333333
2025-04-24 13:15:00+05:00,909.0,905.6005076124227,916.23
2025-06-29 07:45:00+05:00,143.0,117.65377360074338,135.14333333333335
2025-08-10 10:15:00+05:00,815.0,782.3870862165998,810.8
2025-05-11 11:00:00+05:00,824.0,801.2096390328461,825.7833333333333
2025-07-13 14:30:00+05:00,639.0,687.2836614608291,631.2733333333333
2025-10-06 13:00:00+05:00,109.0,198.88794891296428,179.51
2025-06-02 08:30:00+05:00,617.0,567.4137198415763,618.89
2025-01-22 15:45:00+05:00,325.0,379.1881916791131,327.49666666666667
2025-01-25 16:30:00+05:00,146.0,196.9066275638857,144.87333333333333
2025-10-01 13:15:00+05:00,502.0,567.4137198415763,542.27
2025-05-13 09:15:00+05:00,655.0,611.0027895213045,659.7066666666667
2025-01-08 13:15:00+05:00,689.0,707.0968749516146,688.5933333333334
2025-07-08 16:00:00+05:00,109.0,116.6631129262041,114.26333333333334
2025-06-13 10:30:00+05:00,570.0,571.3763625397332,581.1933333333334
2025-05-01 09:30:00+05:00,744.0,701.1529109043788,744.1366666666667
2025-04-19 13:15:00+05:00,880.0,899.2850458122348,879.51
2025-03-28 16:30:00+05:00,223.0,277.15014220156735,223.96333333333334
2025-02-17 07:30:00+05:00,185.0,133.50434439337184,183.98333333333332
2025-06-19 16:30:00+05:00,111.0,166.19614665316806,119.74666666666667
2025-07-18 13:00:00+05:00,163.0,183.0373781203358,166.61666666666667
2025-07-10 08:45:00+05:00,208.0,199.87860958750355,217.59666666666666
2025-03-17 13:00:00+05:00,842.0,853.7146547834279,842.9866666666667
2025-10-18 16:00:00+05:00,178.0,230.58909049822122,185.21
2025-08-02 12:45:00+05:00,867.0,873.5278682742135,864.69
2025-08-04 10:45:00+05:00,526.0,560.4790951198013,564.12
2025-02-20 12:45:00+05:00,859.0,865.6025828778993,857.25
2025-09-05 08:15:00+05:00,497.0,428.72122540607705,518.1333333333333
2025-02-06 16:30:00+05:00,142.0,187.9906814930322,143.22
2025-02-25 09:15:00+05:00,587.0,536.7032389308586,585.5
2025-04-11 17:00:00+05:00,155.0,211.7665376819749,150.27333333333334
2025-04-06 07:45:00+05:00,393.0,332.62713997576697,387.66
2025-06-13 17:45:00+05:00,47.0,68.1207398737794,51.723333333333336
2025-03-11 10:15:00+05:00,791.0,752.6672659804215,788.99
2025-08-25 16:00:00+05:00,157.0,201.85993093658212,169.85333333333332
2025-05-27 13:45:00+05:00,538.0,597.1335400777546,530.7366666666667
2025-05-03 13:15:00+05:00,842.0,889.378439066842,869.7666666666667
2025-06-21 13:30:00+05:00,287.0,376.2162096554953,369.69666666666666
2025-03-23 11:00:00+05:00,896.0,880.4624929959884,908.03
2025-05-13 08:30:00+05:00,341.0,273.1874995034102,283.85333333333335
2025-01-13 14:45:00+05:00,301.0,293.9913736687351,268.47
2025-06-16 09:15:00+05:00,679.0,696.1996075316824,733.05
2025-06-18 16:45:00+05:00,155.0,167.18680732770733,122.85333333333334
